Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
RiskVRP,V,45_1.0,891.8,ILS-SP,891.8,891.8,2.2,891.7933,891.7933,22.273,44,0.6098
RiskVRP,V,45_1.5,773.1,ILS-SP,774.5,776.0,1.8,773.1184,775.0494,18.5706,44,9.4774
RiskVRP,V,45_2.0,735.6,ILS-SP,735.6,735.6,1.8,735.5744,735.5744,18.2636,44,0.244
RiskVRP,V,45_2.5,727.2,ILS-SP,727.2,727.2,1.6,727.1733,727.1733,16.5262,44,2.825
RiskVRP,V,45_3.0,706.0,ILS-SP,705.9,706.7,1.6,705.9473,705.9473,16.0712,44,10.3906
RiskVRP,V,51_1.0,1442.0,ILS-SP,1442.0,1442.0,1.6,1442.0021,1442.0021,16.9256,50,4.332
RiskVRP,V,51_1.5,1083.6,ILS-SP,1083.6,1083.7,1.8,1083.6425,1083.6796,18.2794,50,18.2794
RiskVRP,V,51_2.0,904.3,ILS-SP,904.3,904.3,1.9,904.2817,904.2817,19.6476,50,8.2256
RiskVRP,V,51_2.5,790.0,ILS-SP,790.0,790.0,1.9,789.9523,789.9523,19.9206,50,9.826
RiskVRP,V,51_3.0,736.4,ILS-SP,736.4,737.2,2.0,736.4257,737.7289,20.737,50,20.7366
RiskVRP,V,72_1.0,339.4,ILS-SP,339.6,344.5,5.8,339.5554,346.0078,58.6908,71,56.5618
RiskVRP,V,72_1.5,290.6,ILS-SP,290.6,290.7,4.8,290.635,290.635,48.6938,71,16.085
RiskVRP,V,72_2.0,262.0,ILS-SP,262.0,262.0,4.8,262.0179,262.0179,48.4312,71,1.5096
RiskVRP,V,72_2.5,246.9,ILS-SP,246.9,249.1,4.5,246.9054,246.9054,45.9854,71,37.5584
RiskVRP,V,72_3.0,239.4,ILS-SP,239.4,239.4,4.8,239.4388,239.4388,53.3296,71,8.3664
MDVRP,P,P01,576.865,PyVRP,576.865,576.87,30.011,576.8657,576.8657,300.4082,50,2.6324
MDVRP,P,P02,473.533,PyVRP,473.533,473.53,30.012,473.5333,473.5333,300.4478,50,31.7754
MDVRP,P,P03,640.649,PyVRP,640.649,640.65,45.018,640.652,640.652,450.3368,75,450.3366
MDVRP,P,P04,999.213,PyVRP,999.213,999.21,60.025,999.2137,999.2137,601.222,100,601.2218
MDVRP,P,P05,750.022,PyVRP,750.022,750.02,60.022,750.0291,750.4075,601.0062,100,571.8122
MDVRP,P,P06,876.5,PyVRP,876.5,876.5,60.023,876.5001,876.5001,600.8668,100,596.0428
MDVRP,P,P07,883.91,PyVRP,883.91,885.13,60.022,881.9674,882.5428,601.3128,100,601.3124
MDVRP,P,P08,4342.041,PyVRP,4342.041,4349.05,149.474,4357.8718,4369.9948,1508.0756,249,1508.0746
MDVRP,P,P09,3859.529,PyVRP,3859.529,3867.93,149.478,3866.9502,3877.9168,1494.8188,249,1494.8178
MDVRP,P,P10,3631.109,PyVRP,3631.109,3632.88,149.489,3633.0097,3639.3409,1493.883,249,1493.8818
MDVRP,P,P11,3546.619,PyVRP,3546.619,3554.45,149.483,3546.887,3552.3726,1494.5488,249,1493.8552
MDVRP,P,P12,1318.95,PyVRP,1318.95,1318.95,48.015,1318.9549,1318.9549,479.8876,80,8.816
MDVRP,P,P15,2505.408,PyVRP,2505.408,2505.41,96.043,2505.4172,2505.4172,959.45,160,91.8116
MDVRP,P,P18,3702.834,PyVRP,3702.834,3702.83,144.082,3702.8472,3702.8472,1438.9812,240,912.6542
MDVRP,PR,PR01,861.315,PyVRP,861.315,861.32,28.81,861.3186,861.3186,289.0856,48,0.6994
