instance,seed,cost,time,pool
rc101,6,1059.32238,15.702754965,2736
rc101,7,1059.32238,14.466902836,2654
rc101,8,1059.32238,11.715446451,1965
rc101,9,1059.32238,12.005733743,2182
rc101,10,1059.32238,12.395701273,2128
rc201,1,672.9217299999999,9.349429423,1017
rc201,2,672.9217299999999,9.282867371,1138
rc201,3,672.92173,9.379271794,910
rc201,4,672.9217299999999,9.570154152,864
rc201,5,672.9217299999999,9.71638012,1092
rc201,6,672.9217299999999,9.883889376,1103
rc201,7,673.8305499999999,9.299317102,923
rc201,8,672.9217299999999,9.284598253,876
rc201,9,672.9217299999998,9.082764036,903
rc201,10,672.9217299999999,9.449099133,993
sn11x,1,861.6172459999999,45.320915251,3743
sn11x,2,853.8860619999996,49.093076766,4100
sn11x,3,852.7700449999998,33.863199613,3524
sn11x,4,839.133228,30.259234699,3498
sn11x,5,853.6429659999997,30.763451298,2888
sn11x,6,850.8350719999999,83.238988237,4454
sn11x,7,849.4283859999999,69.241884858,4452
sn11x,8,858.865100999999,51.746170808,4300
sn11x,9,847.1466129999998,29.689778827,3008
sn11x,10,867.1379879999996,29.624685736,2396
sn11y,1,849.527216,32.717775294,3477
sn11y,2,848.9643460000053,28.106717396,2749
sn11y,3,850.1196189999998,27.715137003,2952
sn11y,4,845.7185249999998,29.71903003,2811
sn11y,5,847.450608,30.78059718,2797
sn11y,6,847.6260259999968,27.890801448,3292
sn11y,7,840.267002,28.946978951,3060
sn11y,8,847.6437149999999,26.519699256,2782
sn11y,9,847.354664,30.200244003,2988
sn11y,10,849.830557,29.302319295,2962
sn12x,1,664.073267,9.60925209,1337
sn12x,2,663.9441019999999,9.400713523,1158
sn12x,3,679.369445,11.471868691,1207
sn12x,4,683.735527,9.598321251,914
sn12x,5,681.575698,11.662080782,1289
sn12x,6,680.146567,9.654061372,1024
sn12x,7,680.866434,15.211840071,1400
sn12x,8,663.8130350000001,9.118665312,1072
sn12x,9,679.4834860000001,9.821367628,1227
sn12x,10,683.735527,9.038244323,1029
sn12y,1,668.951505,12.184279181,1094
sn12y,2,673.8265710000001,8.856696946,987
sn12y,3,678.9737549999998,11.111445647,1132
sn12y,4,684.009908,9.7332482,850
sn12y,5,663.6878489999999,9.021570786,1082
sn12y,6,679.071764,10.199918851,1128
sn12y,7,670.3363429999999,9.575219641,1189
sn12y,8,670.676298,10.707520035,1082
sn12y,9,679.681023,9.759422948,1044
sn12y,10,681.2410259999999,11.160877207,1048
sn1x,1,466.77292099999994,3.025103014,687
sn1x,2,466.77292099999994,3.000961381,581
sn1x,3,466.7729209999999,3.306153771,603
